loan_id,application_id,customer_id,state,city,gender,employment_type,occupation_category,income_band,monthly_income,credit_score,debt_to_income_ratio,acquisition_channel,loan_product,purpose_category,risk_band,underwriting_score,disbursement_date,principal_amount,interest_rate,tenure_months,emi_amount,loan_status,current_outstanding,days_past_due,delinquency_bucket,default_flag,write_off_flag,total_due_amount,total_paid_amount,repayment_completion_rate,missed_payment_count,partial_payment_count,late_payment_count,avg_days_late,max_days_late,pd_score,lgd,ead,expected_credit_loss,par30_flag,par60_flag,par90_flag,risk_priority_score,risk_priority_band,total_contact_attempts,total_recovered_amount,promise_to_pay_count,last_action_date,last_contact_attempt_number,expected_recoverable_value,collections_priority_score,recommended_next_action
LOAN00015150,APP00024459,CUST0006920,Uttar Pradesh,Ghaziabad,Female,Small Business Owner,Trading,Upper Mass,96226,675,0.165,Mobile App,Business Micro-loan,Equipment Purchase,High,45.31,2026-03-20,491000.0,27.26,6,88461.52,Defaulted,468255.55,176,Default,1,0,265384.56,88461.52,0.3333,0,1,1,0.0,0,0.55,0.68,468255.55,175127.58,1,1,1,78.15,High Priority,3.0,20984.26,1.0,2026-06-11,3.0,158832.28,78.01,Settlement offer / legal review
LOAN00016984,APP00027463,CUST0021136,Karnataka,Bengaluru,Female,Self-employed,Unknown,Upper Mass,97025,729,0.368,Social Media,Personal Loan,Emergency Expense,High,51.88,2026-03-16,350500.0,24.28,36,13802.7,Defaulted,376796.29,188,Default,1,0,303659.4,20135.34,0.0663,0,1,1,1.5,33,0.55,0.68,376796.29,140921.81,1,1,1,75.54,High Priority,3.0,136866.22999999998,1.0,2026-04-19,3.0,127809.3,73.49,Settlement offer / legal review
LOAN00019914,APP00032227,CUST0005436,Kerala,Kozhikode,Female,Self-employed,Transport and Logistics,Upper Mass,96610,730,0.251,Mobile App,Business Micro-loan,Inventory Purchase,High,51.64,2026-04-30,407000.0,28.07,24,22354.14,Defaulted,341706.15,210,Default,1,0,312957.95999999996,0.0,0.0,1,1,0,8.285714285714286,116,0.55,0.68,341706.15,127798.1,1,1,1,74.53,High Priority,3.0,35554.32,1.0,2026-05-30,3.0,115906.73,71.53,Settlement offer / legal review
LOAN00006464,APP00010430,CUST0010525,Gujarat,Surat,Female,Salaried,Sales and Retail,Affluent,113084,678,0.215,Mobile App,Personal Loan,Travel,High,57.72,2026-03-14,381500.0,24.86,9,46899.65,Defaulted,362304.68,205,Default,1,0,187598.6,93799.3,0.5,0,0,2,2.75,10,0.55,0.68,362304.68,135501.95,1,1,1,75.12,High Priority,4.0,0.0,1.0,2026-06-26,4.0,122893.75,71.48,Settlement offer / legal review
LOAN00012128,APP00019546,CUST0001943,Telangana,Nizamabad,Female,Salaried,IT and Services,Upper Mass,77646,691,0.333,Paid Search,Personal Loan,Education,High,50.36,2025-10-16,355000.0,25.08,36,14129.76,Defaulted,330699.31,211,Default,1,0,438022.56,109698.5,0.2504,0,1,2,3.2903225806451615,60,0.55,0.68,330699.31,123681.54,1,1,1,74.22,High Priority,17.0,105300.06999999999,5.0,2026-06-28,17.0,124872.06,70.52,Settlement offer / legal review
LOAN00000595,APP00000966,CUST0000806,Karnataka,Mysuru,Male,Salaried,IT and Services,Upper Mass,83562,746,0.255,Referral,Personal Loan,Family Event,Medium,75.07,2026-04-09,325500.0,21.83,18,21367.86,Defaulted,355038.87,173,Default,1,0,277782.18,21367.86,0.0769,0,0,1,0.0,0,0.55,0.68,355038.87,132784.54,1,1,1,74.91,High Priority,2.0,43837.87,0.0,2026-06-10,2.0,113612.44,70.5,Settlement offer / legal review
LOAN00016772,APP00027123,CUST0021772,Maharashtra,Mumbai,Male,Self-employed,Sales and Retail,Upper Mass,97441,669,0.458,Website,Personal Loan,Debt Consolidation,Critical,39.63,2026-04-29,302500.0,28.19,12,29221.19,Defaulted,321614.26,176,Default,1,0,233769.52,0.0,0.0,2,0,0,19.25,108,0.55,0.68,321614.26,120283.73,1,1,1,73.96,High Priority,4.0,0.0,1.0,2026-05-28,4.0,109091.56,68.66,Settlement offer / legal review
LOAN00001362,APP00002193,CUST0021958,Telangana,Hyderabad,Male,Self-employed,Small Business,Affluent,117027,754,0.36,Paid Search,Personal Loan,Travel,Medium,65.44,2026-04-13,375500.0,21.48,9,45544.66,Defaulted,363187.29,216,Default,1,0,318812.62,45544.66,0.1429,1,0,0,7.857142857142857,55,0.55,0.68,363187.29,135832.05,1,1,1,75.15,High Priority,5.0,0.0,0.0,2026-06-20,5.0,116219.93,68.33,Settlement offer / legal review
LOAN00020437,APP00033012,CUST0009487,Andhra Pradesh,Guntur,Male,Contract Worker,Construction,Upper Mass,57695,593,0.602,Referral,Business Micro-loan,Business Expansion,Critical,0.0,2026-04-17,248000.0,29.75,18,17247.16,Defaulted,198560.34,201,Default,1,0,241460.24,17247.16,0.0714,1,0,0,4.857142857142857,68,0.8052,0.68,198560.34,108718.93,1,1,1,81.92,Critical Priority,2.0,0.0,0.0,2026-05-30,2.0,63539.31,67.94,Settlement offer / legal review
LOAN00011766,APP00018938,CUST0024780,Tamil Nadu,Salem,Female,Salaried,Manufacturing,Upper Mass,88523,705,0.432,Website,Personal Loan,Medical Expense,High,56.7,2026-04-25,338500.0,24.55,24,17989.92,Defaulted,338586.94,143,Default,1,0,305828.63999999996,0.0,0.0,0,1,1,0.0,0,0.55,0.68,338586.94,126631.52,1,1,1,74.44,High Priority,0.0,0.0,0.0,No Prior Contact,0.0,108347.82,67.82,Settlement offer / legal review
