customer_id,age,gender,city,state,employment_type,occupation_category,monthly_income,credit_score,debt_to_income_ratio,years_employed,bank_account_age_months,customer_since_date,acquisition_channel
CUST0000001,38,Male,Ahmedabad,Gujarat,Gig Worker,Freelance Services,42869,644,0.413,3.9,27.0,2024-08-16,Mobile App
CUST0000002,21,Male,Lucknow,Uttar Pradesh,Self-employed,Small Business,36422,611,0.733,1.0,44.0,2024-01-31,Mobile App
CUST0000003,28,Male,Surat,Gujarat,Gig Worker,Other Services,56877,608,0.85,7.9,39.0,2024-08-13,Mobile App
CUST0000004,35,Male,Howrah,West Bengal,Gig Worker,Transport and Logistics,26933,591,0.849,7.6,54.0,2024-10-11,Social Media
CUST0000005,39,Male,Mumbai,Maharashtra,Salaried,Education,69318,690,0.342,7.6,33.0,2026-05-17,Mobile App
CUST0000006,33,Female,Hubballi,Karnataka,Self-employed,Transport and Logistics,79015,761,0.156,8.1,101.0,2024-03-21,Referral
CUST0000007,21,Female,Vadodara,Gujarat,Self-employed,Small Business,67359,607,0.591,1.0,51.0,2024-02-16,DSA Agent
CUST0000008,34,Male,Bhopal,Madhya Pradesh,Contract Worker,Operations Support,43970,661,0.1,8.0,48.0,2024-10-11,Referral
CUST0000009,32,Female,Karimnagar,Telangana,Salaried,Education,96833,679,0.322,5.7,30.0,2025-12-19,Partner Marketplace
CUST0000010,28,Male,Surat,Gujarat,Self-employed,Professional Services,62409,712,0.487,4.4,52.0,2024-06-16,Mobile App
CUST0000011,39,Female,Visakhapatnam,Andhra Pradesh,Gig Worker,Delivery and Mobility,40268,697,0.46,14.9,42.0,2024-08-22,Referral
CUST0000012,25,Female,Chennai,Tamil Nadu,Salaried,Manufacturing,56599,678,0.456,5.0,45.0,2026-06-16,Mobile App
CUST0000013,31,Female,Salem,Tamil Nadu,Salaried,Finance and Accounting,72851,728,0.279,3.7,68.0,2024-09-09,Partner Marketplace
CUST0000014,36,Male,Ghaziabad,Uttar Pradesh,Contract Worker,Operations Support,20340,592,0.681,2.5,65.0,2025-01-05,Social Media
CUST0000015,41,Female,New Delhi,Delhi,Gig Worker,Delivery and Mobility,31156,599,0.661,13.0,21.0,2024-06-05,Referral
CUST0000016,39,Male,Chennai,Tamil Nadu,Salaried,Manufacturing,78745,718,0.165,2.2,60.0,2025-04-24,Social Media
CUST0000017,25,Female,Kolkata,West Bengal,Gig Worker,Delivery and Mobility,44290,592,0.549,3.0,65.0,2025-11-29,DSA Agent
CUST0000018,42,Male,Jodhpur,Rajasthan,Salaried,Healthcare,143823,764,0.128,2.8,79.0,2024-06-10,Social Media
CUST0000019,29,Female,Kozhikode,Kerala,Small Business Owner,Retail Business,75831,641,0.563,4.6,15.0,2025-06-03,Paid Search
CUST0000020,55,Female,Pune,Maharashtra,Salaried,Finance and Accounting,77187,658,0.353,12.6,11.0,2025-07-06,Paid Search
CUST0000021,29,Female,Kozhikode,Kerala,Self-employed,Small Business,94652,736,0.059,2.7,99.0,2025-01-06,Referral
CUST0000022,31,Male,Mumbai,Maharashtra,Salaried,Manufacturing,47690,683,0.297,11.0,3.0,2024-03-21,Website
CUST0000023,44,Male,Mysuru,Karnataka,Salaried,Healthcare,65749,662,0.144,4.4,51.0,2025-07-16,Partner Marketplace
CUST0000024,37,Male,Surat,Gujarat,Small Business Owner,Retail Business,46911,664,0.511,4.0,69.0,2025-12-31,Social Media
CUST0000025,41,Male,Rajkot,Gujarat,Contract Worker,Operations Support,29711,512,0.353,6.5,80.0,2024-05-03,Mobile App
CUST0000026,41,Female,Mysuru,Karnataka,Self-employed,Small Business,75135,695,0.406,7.3,59.0,2024-03-13,Mobile App
CUST0000027,51,Male,Bengaluru,Karnataka,Contract Worker,Manufacturing,26775,623,0.715,8.4,29.0,2025-06-10,DSA Agent
CUST0000028,31,Female,Warangal,Telangana,Gig Worker,Other Services,22719,588,0.481,7.2,74.0,2024-09-05,Referral
CUST0000029,44,Male,Hyderabad,Telangana,Self-employed,Sales and Retail,65017,682,0.497,3.1,36.0,2025-03-09,Referral
CUST0000030,36,Female,Bengaluru,Karnataka,Salaried,Sales and Retail,74918,708,0.211,2.3,78.0,2024-12-13,Mobile App
CUST0000031,38,Male,Nizamabad,Telangana,Salaried,Finance and Accounting,81068,735,0.652,4.5,127.0,2024-10-12,Paid Search
CUST0000032,21,Male,Bengaluru,Karnataka,Salaried,Manufacturing,88950,706,0.386,1.0,13.0,2026-05-06,Mobile App
CUST0000033,33,Male,Udaipur,Rajasthan,Salaried,Healthcare,55492,721,0.266,3.5,121.0,2025-05-07,Website
CUST0000034,34,Female,Hubballi,Karnataka,Salaried,Healthcare,31391,616,0.64,3.5,17.0,2024-09-28,Referral
CUST0000035,52,Female,Nashik,Maharashtra,Salaried,Education,49559,751,0.302,9.0,61.0,2024-08-10,Partner Marketplace
CUST0000036,21,Male,Rohini,Delhi,Salaried,Manufacturing,49980,654,0.367,1.0,53.0,2025-05-03,Referral
CUST0000037,37,Male,Hyderabad,Telangana,Contract Worker,Manufacturing,50972,600,0.665,1.5,86.0,2025-09-01,Referral
CUST0000038,38,Male,Coimbatore,Tamil Nadu,Self-employed,Small Business,49213,610,0.257,2.9,34.0,2025-09-26,Partner Marketplace
CUST0000039,35,Female,Rohini,Delhi,Small Business Owner,Retail Business,51325,593,0.575,7.5,39.0,2025-11-16,Mobile App
CUST0000040,25,Male,Madurai,Tamil Nadu,Salaried,IT and Services,24094,659,0.445,5.0,108.0,2024-01-10,Social Media
CUST0000041,24,Male,Indore,Madhya Pradesh,Self-employed,Other Services,33774,653,0.497,4.0,97.0,2024-09-28,Website
CUST0000042,27,Female,Mysuru,Karnataka,Salaried,Finance and Accounting,65501,681,0.386,7.0,21.0,2025-03-24,DSA Agent
CUST0000043,34,Male,Ahmedabad,Gujarat,Gig Worker,Transport and Logistics,42794,587,0.611,2.3,73.0,2025-11-10,Paid Search
CUST0000044,28,Male,Mumbai,Maharashtra,Gig Worker,Freelance Services,12000,566,0.357,6.3,69.0,2024-10-05,Mobile App
CUST0000045,26,Male,Nagpur,Maharashtra,Self-employed,Sales and Retail,77925,708,0.111,3.3,39.0,2026-05-16,Partner Marketplace
CUST0000046,35,Female,Kolkata,West Bengal,Salaried,Finance and Accounting,76760,712,0.242,4.6,61.0,2025-10-14,Mobile App
CUST0000047,36,Female,Salem,Tamil Nadu,Self-employed,Small Business,77500,607,0.755,14.1,49.0,2024-03-18,DSA Agent
CUST0000048,31,Male,Hyderabad,Telangana,Contract Worker,Other Services,67499,667,0.565,7.3,67.0,2025-07-19,Mobile App
CUST0000049,29,Male,Mumbai,Maharashtra,Contract Worker,Construction,32501,630,0.75,5.7,93.0,2025-11-29,Mobile App
CUST0000050,45,Female,Kota,Rajasthan,Small Business Owner,Retail Business,39087,715,0.273,3.1,90.0,2024-08-30,Social Media
CUST0000051,21,Female,Siliguri,West Bengal,Salaried,Sales and Retail,102570,758,0.267,1.0,65.0,2024-12-06,Website
CUST0000052,21,Male,Noida,Uttar Pradesh,Salaried,Sales and Retail,77578,683,0.08,1.0,29.0,2024-04-20,Mobile App
CUST0000053,24,Male,Coimbatore,Tamil Nadu,Contract Worker,Operations Support,48301,538,0.437,1.0,50.0,2024-12-24,Referral
CUST0000054,31,Male,Hyderabad,Telangana,Gig Worker,Other Services,46889,591,0.583,6.8,29.0,2024-12-02,Mobile App
CUST0000055,35,Other,Jodhpur,Rajasthan,Self-employed,Transport and Logistics,29364,597,0.375,3.9,207.0,2025-11-26,Partner Marketplace
CUST0000056,36,Female,Vijayawada,Andhra Pradesh,Contract Worker,Sales and Retail,25467,635,0.849,3.6,21.0,2024-07-01,Social Media
CUST0000057,38,Female,Hubballi,Karnataka,Salaried,Education,54890,647,0.176,1.9,50.0,2025-03-22,Website
CUST0000058,36,Male,Pune,Maharashtra,Salaried,Sales and Retail,54944,641,0.806,1.6,24.0,2025-03-22,Paid Search
CUST0000059,42,Female,Dwarka,Delhi,Salaried,IT and Services,58215,636,0.571,4.2,46.0,2025-11-11,Partner Marketplace
CUST0000060,29,Male,Lucknow,Uttar Pradesh,Gig Worker,Transport and Logistics,40903,607,0.614,2.4,17.0,2025-06-03,Website
CUST0000061,21,Female,Madurai,Tamil Nadu,Self-employed,Professional Services,56787,549,0.782,1.0,47.0,2025-03-06,Website
CUST0000062,52,Male,Noida,Uttar Pradesh,Self-employed,Sales and Retail,88825,654,0.688,3.5,32.0,2025-02-19,Mobile App
CUST0000063,33,Male,Nashik,Maharashtra,Contract Worker,Other Services,33320,570,0.203,12.2,18.0,2025-11-01,Website
CUST0000064,33,Male,Ghaziabad,Uttar Pradesh,Contract Worker,Construction,41255,715,0.272,6.5,105.0,2025-11-05,Website
CUST0000065,37,Male,Vadodara,Gujarat,Salaried,Finance and Accounting,64261,733,0.44,5.0,93.0,2025-11-19,Referral
CUST0000066,21,Female,Hyderabad,Telangana,Salaried,Healthcare,65939,674,0.542,1.0,67.0,2025-09-17,Mobile App
CUST0000067,36,Male,Coimbatore,Tamil Nadu,Gig Worker,Other Services,36376,656,0.755,7.6,88.0,2025-05-21,Mobile App
CUST0000068,29,Female,Lucknow,Uttar Pradesh,Contract Worker,Construction,46879,574,0.494,9.0,32.0,2024-06-29,DSA Agent
