loan_id,application_id,customer_id,disbursement_date,principal_amount,interest_rate,tenure_months,emi_amount,loan_status,current_outstanding,days_past_due,default_flag,write_off_flag,closure_date
LOAN00000001,APP00000001,CUST0000278,2025-12-02,38500.0,21.0,3,13285.1,Active,11890.87,0,0,0,
LOAN00000002,APP00000002,CUST0007366,2025-12-27,220500.0,27.48,9,27389.88,Active,111062.2,52,0,0,
LOAN00000003,APP00000003,CUST0012800,2025-12-04,64500.0,28.73,12,6247.7,Defaulted,54455.19,112,1,0,
LOAN00000004,APP00000005,CUST0005147,2024-05-31,27000.0,19.96,3,9301.05,Closed,0.0,0,0,0,2024-09-02
LOAN00000005,APP00000008,CUST0007218,2024-10-06,38500.0,22.98,9,4697.73,Closed,0.0,0,0,0,2025-07-22
LOAN00000006,APP00000009,CUST0023182,2026-06-29,72000.0,22.79,12,6766.2,Active,72000.0,0,0,0,
LOAN00000007,APP00000010,CUST0015395,2025-06-02,16500.0,22.58,2,8483.58,Closed,0.0,0,0,0,2025-08-22
LOAN00000008,APP00000011,CUST0002188,2024-09-29,96500.0,22.12,18,6348.43,Closed,0.0,0,0,0,2026-04-11
LOAN00000009,APP00000012,CUST0023347,2026-06-10,276000.0,25.8,6,49522.84,Active,276000.0,0,0,0,
LOAN00000010,APP00000013,CUST0014067,2025-10-12,80500.0,25.99,6,14451.86,Closed,0.0,0,0,0,2026-04-12
LOAN00000011,APP00000016,CUST0006579,2026-05-03,59500.0,30.45,18,4158.78,Active,56851.03,0,0,0,
LOAN00000012,APP00000017,CUST0023391,2025-12-15,17500.0,16.3,6,3056.89,Closed,0.0,0,0,0,2026-06-28
LOAN00000013,APP00000020,CUST0004408,2026-04-20,239000.0,27.37,6,43072.94,Defaulted,214274.19,129,1,0,
LOAN00000014,APP00000021,CUST0008643,2026-06-28,124000.0,25.0,36,4930.22,Active,124000.0,0,0,0,
LOAN00000015,APP00000022,CUST0011733,2025-07-28,135000.0,19.35,24,6828.14,Active,79504.86,0,0,0,
LOAN00000016,APP00000023,CUST0014260,2026-06-02,25000.0,19.27,1,25401.46,Active,25000.0,0,0,0,
LOAN00000017,APP00000024,CUST0010105,2025-10-17,20500.0,26.83,1,20958.35,Defaulted,20232.8,157,1,0,
LOAN00000018,APP00000025,CUST0017747,2026-06-27,38500.0,20.97,9,4660.18,Active,38500.0,0,0,0,
LOAN00000019,APP00000026,CUST0006117,2025-04-03,279500.0,23.25,6,49792.77,Defaulted,39966.57,186,1,0,
LOAN00000020,APP00000027,CUST0019063,2025-11-09,56500.0,28.79,24,3123.99,Defaulted,53657.39,182,1,0,
LOAN00000021,APP00000028,CUST0001290,2026-01-30,71500.0,23.18,6,12735.18,Active,12493.81,0,0,0,
LOAN00000022,APP00000030,CUST0006409,2025-12-15,56500.0,18.71,12,5199.03,Active,29560.26,0,0,0,
LOAN00000023,APP00000031,CUST0018328,2025-11-23,310000.0,26.17,12,29639.99,Active,138976.69,0,0,0,
LOAN00000024,APP00000032,CUST0024706,2026-06-05,22500.0,28.2,18,1547.37,Active,22500.0,0,0,0,
LOAN00000025,APP00000033,CUST0012002,2026-01-09,219500.0,25.16,18,14765.84,Active,183019.53,12,0,0,
LOAN00000026,APP00000035,CUST0005849,2025-10-22,19500.0,19.85,24,991.04,Active,13832.11,0,0,0,
LOAN00000027,APP00000036,CUST0006873,2025-11-21,50500.0,18.28,1,51269.28,Closed,0.0,0,0,0,2026-01-11
LOAN00000028,APP00000037,CUST0021865,2025-08-06,70000.0,22.56,6,12446.25,Closed,0.0,0,0,0,2026-02-25
LOAN00000029,APP00000038,CUST0020050,2024-10-15,69000.0,20.8,1,70196.0,Closed,0.0,0,0,0,2024-12-02
LOAN00000030,APP00000039,CUST0023717,2025-11-06,67500.0,19.7,12,6243.14,Active,29735.36,0,0,0,
LOAN00000031,APP00000040,CUST0020348,2024-08-06,18000.0,21.08,2,9237.84,Active,15137.97,81,0,0,
LOAN00000032,APP00000041,CUST0011617,2026-06-30,46000.0,22.05,24,2387.53,Active,46000.0,0,0,0,
LOAN00000033,APP00000042,CUST0023207,2026-02-23,19500.0,23.24,12,1836.75,Active,16045.66,32,0,0,
LOAN00000034,APP00000044,CUST0005048,2026-06-08,372000.0,22.59,12,34922.83,Active,372000.0,0,0,0,
LOAN00000035,APP00000046,CUST0024053,2026-05-14,31500.0,22.07,3,10888.57,Active,21190.77,0,0,0,
LOAN00000036,APP00000047,CUST0023182,2026-04-01,24500.0,18.36,3,8417.83,Active,8290.98,0,0,0,
LOAN00000037,APP00000048,CUST0018151,2025-08-23,18000.0,25.93,2,9292.75,Closed,0.0,0,0,0,2025-11-10
LOAN00000038,APP00000049,CUST0021882,2026-02-22,197000.0,21.4,18,12891.32,Active,158471.94,0,0,0,
LOAN00000039,APP00000050,CUST0019753,2026-06-09,64000.0,19.95,12,5927.08,Active,64000.0,0,0,0,
LOAN00000040,APP00000051,CUST0017744,2024-10-09,68500.0,17.55,3,23504.44,Closed,0.0,0,0,0,2025-01-29
LOAN00000041,APP00000052,CUST0014172,2026-02-13,49000.0,20.63,18,3188.26,Defaulted,46875.22,157,1,0,
LOAN00000042,APP00000053,CUST0014411,2025-07-22,45500.0,25.4,12,4333.35,Active,8723.82,9,0,0,
LOAN00000043,APP00000054,CUST0000532,2025-05-13,55500.0,18.27,6,9749.12,Closed,0.0,0,0,0,2025-11-26
LOAN00000044,APP00000057,CUST0009741,2026-06-07,38000.0,23.15,18,2518.92,Active,38000.0,0,0,0,
LOAN00000045,APP00000059,CUST0003484,2024-12-19,87000.0,21.44,6,15420.11,Closed,0.0,0,0,0,2025-06-26
